date,city,state,city_ibge_code,case_inc,death_inc
2020-09-19,Maceió,AL,2704302,344,2
2020-09-20,Maceió,AL,2704302,458,2
2020-09-21,Maceió,AL,2704302,68,2
2020-09-22,Maceió,AL,2704302,29,2
2020-09-23,Maceió,AL,2704302,83,2
2020-09-24,Maceió,AL,2704302,19,3
2020-09-25,Maceió,AL,2704302,29,3
2020-09-26,Maceió,AL,2704302,27,2
2020-09-27,Maceió,AL,2704302,26,2
2020-09-28,Maceió,AL,2704302,20,2
2020-09-29,Maceió,AL,2704302,19,2
2020-09-30,Maceió,AL,2704302,171,2
2020-10-01,Maceió,AL,2704302,526,3
2020-10-02,Maceió,AL,2704302,132,3
2020-10-03,Maceió,AL,2704302,25,2
2020-10-04,Maceió,AL,2704302,17,3
2020-10-05,Maceió,AL,2704302,5,3
